AC_L_001 多天完整时间序列数据

"日期: 2021/6/1, 空调: AC_L_001 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
3.5,23.94,0.000,0.0
4.0,24.03,0.000,0.0
4.5,24.11,0.000,0.0
5.0,24.20,0.000,0.0
5.5,24.28,0.000,0.0
6.0,24.37,0.000,0.0
6.5,24.45,0.000,0.0
7.0,24.53,0.000,0.0
7.5,24.61,0.000,0.0
8.0,24.69,0.000,0.0
8.5,24.76,0.000,0.0
9.0,24.83,0.000,0.0
9.5,24.89,0.000,0.0
10.0,24.94,0.000,0.0
10.5,24.99,0.000,0.0
11.0,25.03,0.000,0.0
11.5,25.06,0.000,0.0
12.0,25.09,0.000,0.0
12.5,25.13,0.000,0.0
13.0,25.16,0.000,0.0
13.5,25.19,0.000,0.0
14.0,25.23,0.000,0.0
14.5,25.26,0.000,0.0
15.0,25.30,0.000,0.0
15.5,25.33,0.000,0.0
16.0,25.36,0.000,0.0
16.5,25.39,0.000,0.0
17.0,25.42,0.000,0.0
17.5,25.45,0.000,0.0
18.0,25.47,0.000,0.0
18.5,25.49,0.000,0.0
19.0,25.51,0.000,0.0
19.5,25.53,0.000,0.0
20.0,25.55,0.000,0.0
20.5,25.57,0.000,0.0
21.0,25.60,0.000,0.0
21.5,25.63,0.000,0.0
22.0,25.66,0.000,0.0
22.5,25.69,0.000,0.0
23.0,25.73,0.000,0.0
23.5,25.78,0.000,0.0
24.0,25.82,0.000,0.0

"日期: 2021/7/13, 空调: AC_L_001 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.55,0.000,0.0
1.5,23.63,0.000,0.0
2.0,23.71,0.000,0.0
2.5,23.79,0.000,0.0
3.0,23.87,0.000,0.0
3.5,23.95,0.000,0.0
4.0,24.04,0.000,0.0
4.5,24.12,0.000,0.0
5.0,24.20,0.000,0.0
5.5,24.28,0.000,0.0
6.0,24.36,0.000,0.0
6.5,24.44,0.000,0.0
7.0,24.52,0.000,0.0
7.5,24.60,0.000,0.0
8.0,24.68,0.000,0.0
8.5,24.76,0.000,0.0
9.0,24.84,0.000,0.0
9.5,24.91,0.000,0.0
10.0,24.97,0.000,0.0
10.5,25.03,0.000,0.0
11.0,25.09,0.000,0.0
11.5,25.12,0.000,0.0
12.0,25.16,0.000,0.0
12.5,25.21,0.000,0.0
13.0,25.26,0.000,0.0
13.5,25.30,0.000,0.0
14.0,25.34,0.000,0.0
14.5,25.38,0.000,0.0
15.0,25.42,0.000,0.0
15.5,25.46,0.000,0.0
16.0,25.49,0.000,0.0
16.5,25.53,0.000,0.0
17.0,25.56,0.000,0.0
17.5,25.59,0.000,0.0
18.0,25.62,0.000,0.0
18.5,25.65,0.000,0.0
19.0,25.67,0.000,0.0
19.5,25.69,0.000,0.0
20.0,25.71,0.000,0.0
20.5,25.73,0.000,0.0
21.0,25.76,0.000,0.0
21.5,25.79,0.000,0.0
22.0,25.82,0.000,0.0
22.5,25.85,0.000,0.0
23.0,25.89,0.000,0.0
23.5,25.93,0.000,0.0
24.0,25.97,0.168,1.2

"日期: 2021/7/14, 空调: AC_L_001 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.55,0.000,0.0
1.5,23.61,0.000,0.0
2.0,23.69,0.000,0.0
2.5,23.77,0.000,0.0
3.0,23.85,0.000,0.0
3.5,23.93,0.000,0.0
4.0,24.01,0.000,0.0
4.5,24.08,0.000,0.0
5.0,24.16,0.000,0.0
5.5,24.24,0.000,0.0
6.0,24.32,0.000,0.0
6.5,24.40,0.000,0.0
7.0,24.48,0.000,0.0
7.5,24.57,0.000,0.0
8.0,24.66,0.000,0.0
8.5,24.75,0.000,0.0
9.0,24.83,0.000,0.0
9.5,24.90,0.000,0.0
10.0,24.96,0.000,0.0
10.5,25.02,0.000,0.0
11.0,25.07,0.000,0.0
11.5,25.09,0.000,0.0
12.0,25.12,0.000,0.0
12.5,25.16,0.000,0.0
13.0,25.19,0.000,0.0
13.5,25.23,0.000,0.0
14.0,25.27,0.000,0.0
14.5,25.30,0.000,0.0
15.0,25.34,0.000,0.0
15.5,25.37,0.000,0.0
16.0,25.40,0.000,0.0
16.5,25.42,0.000,0.0
17.0,25.44,0.000,0.0
17.5,25.45,0.000,0.0
18.0,25.47,0.000,0.0
18.5,25.48,0.000,0.0
19.0,25.49,0.000,0.0
19.5,25.50,0.000,0.0
20.0,25.51,0.000,0.0
20.5,25.53,0.000,0.0
21.0,25.55,0.000,0.0
21.5,25.57,0.000,0.0
22.0,25.59,0.000,0.0
22.5,25.61,0.000,0.0
23.0,25.64,0.000,0.0
23.5,25.68,0.000,0.0
24.0,25.72,0.000,0.0

"日期: 2021/7/15, 空调: AC_L_001 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.55,0.000,0.0
1.5,23.62,0.000,0.0
2.0,23.69,0.000,0.0
2.5,23.76,0.000,0.0
3.0,23.84,0.000,0.0
3.5,23.92,0.000,0.0
4.0,23.99,0.000,0.0
4.5,24.07,0.000,0.0
5.0,24.15,0.000,0.0
5.5,24.22,0.000,0.0
6.0,24.30,0.000,0.0
6.5,24.38,0.000,0.0
7.0,24.46,0.000,0.0
7.5,24.54,0.000,0.0
8.0,24.62,0.000,0.0
8.5,24.70,0.000,0.0
9.0,24.77,0.000,0.0
9.5,24.84,0.000,0.0
10.0,24.91,0.000,0.0
10.5,24.97,0.000,0.0
11.0,25.02,0.000,0.0
11.5,25.06,0.000,0.0
12.0,25.10,0.000,0.0
12.5,25.15,0.000,0.0
13.0,25.20,0.000,0.0
13.5,25.24,0.000,0.0
14.0,25.29,0.000,0.0
14.5,25.33,0.000,0.0
15.0,25.37,0.000,0.0
15.5,25.41,0.000,0.0
16.0,25.45,0.000,0.0
16.5,25.48,0.000,0.0
17.0,25.51,0.000,0.0
17.5,25.54,0.000,0.0
18.0,25.57,0.000,0.0
18.5,25.60,0.000,0.0
19.0,25.63,0.000,0.0
19.5,25.65,0.000,0.0
20.0,25.68,0.000,0.0
20.5,25.71,0.000,0.0
21.0,25.73,0.000,0.0
21.5,25.76,0.000,0.0
22.0,25.79,0.000,0.0
22.5,25.82,0.000,0.0
23.0,25.86,0.000,0.0
23.5,25.89,0.000,0.0
24.0,25.93,0.000,0.0

"日期: 2021/7/16, 空调: AC_L_001 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.56,0.000,0.0
1.5,23.61,0.000,0.0
2.0,23.65,0.000,0.0
2.5,23.70,0.000,0.0
3.0,23.75,0.000,0.0
3.5,23.81,0.000,0.0
4.0,23.86,0.000,0.0
4.5,23.91,0.000,0.0
5.0,23.97,0.000,0.0
5.5,24.03,0.000,0.0
6.0,24.09,0.000,0.0
6.5,24.14,0.000,0.0
7.0,24.20,0.000,0.0
7.5,24.25,0.000,0.0
8.0,24.30,0.000,0.0
8.5,24.34,0.000,0.0
9.0,24.39,0.000,0.0
9.5,24.42,0.000,0.0
10.0,24.46,0.000,0.0
10.5,24.49,0.000,0.0
11.0,24.52,0.000,0.0
11.5,24.56,0.000,0.0
12.0,24.60,0.000,0.0
12.5,24.62,0.000,0.0
13.0,24.64,0.000,0.0
13.5,24.66,0.000,0.0
14.0,24.68,0.000,0.0
14.5,24.70,0.000,0.0
15.0,24.71,0.000,0.0
15.5,24.73,0.000,0.0
16.0,24.74,0.000,0.0
16.5,24.78,0.000,0.0
17.0,24.82,0.000,0.0
17.5,24.86,0.000,0.0
18.0,24.90,0.000,0.0
18.5,24.94,0.000,0.0
19.0,24.99,0.000,0.0
19.5,25.03,0.000,0.0
20.0,25.06,0.000,0.0
20.5,25.10,0.000,0.0
21.0,25.14,0.000,0.0
21.5,25.18,0.000,0.0
22.0,25.21,0.000,0.0
22.5,25.25,0.000,0.0
23.0,25.28,0.000,0.0
23.5,25.32,0.000,0.0
24.0,25.35,0.000,0.0

"日期: 2021/7/17, 空调: AC_L_001 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.52,0.000,0.0
1.5,23.59,0.000,0.0
2.0,23.65,0.000,0.0
2.5,23.72,0.000,0.0
3.0,23.79,0.000,0.0
3.5,23.85,0.000,0.0
4.0,23.91,0.000,0.0
4.5,23.97,0.000,0.0
5.0,24.03,0.000,0.0
5.5,24.08,0.000,0.0
6.0,24.14,0.000,0.0
6.5,24.19,0.000,0.0
7.0,24.25,0.000,0.0
7.5,24.31,0.000,0.0
8.0,24.37,0.000,0.0
8.5,24.43,0.000,0.0
9.0,24.48,0.000,0.0
9.5,24.53,0.000,0.0
10.0,24.58,0.000,0.0
10.5,24.61,0.000,0.0
11.0,24.65,0.000,0.0
11.5,24.66,0.000,0.0
12.0,24.67,0.000,0.0
12.5,24.70,0.000,0.0
13.0,24.72,0.000,0.0
13.5,24.75,0.000,0.0
14.0,24.77,0.000,0.0
14.5,24.78,0.000,0.0
15.0,24.80,0.000,0.0
15.5,24.81,0.000,0.0
16.0,24.82,0.000,0.0
16.5,24.83,0.000,0.0
17.0,24.84,0.000,0.0
17.5,24.85,0.000,0.0
18.0,24.86,0.000,0.0
18.5,24.88,0.000,0.0
19.0,24.89,0.000,0.0
19.5,24.90,0.000,0.0
20.0,24.92,0.000,0.0
20.5,24.94,0.000,0.0
21.0,24.97,0.000,0.0
21.5,24.99,0.000,0.0
22.0,25.02,0.000,0.0
22.5,25.05,0.000,0.0
23.0,25.08,0.000,0.0
23.5,25.12,0.000,0.0
24.0,25.16,0.000,0.0

"日期: 2021/7/18, 空调: AC_L_001 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.52,0.000,0.0
1.5,23.57,0.000,0.0
2.0,23.62,0.000,0.0
2.5,23.68,0.000,0.0
3.0,23.74,0.000,0.0
3.5,23.79,0.000,0.0
4.0,23.86,0.000,0.0
4.5,23.92,0.000,0.0
5.0,23.98,0.000,0.0
5.5,24.05,0.000,0.0
6.0,24.12,0.000,0.0
6.5,24.17,0.000,0.0
7.0,24.23,0.000,0.0
7.5,24.28,0.000,0.0
8.0,24.32,0.000,0.0
8.5,24.37,0.000,0.0
9.0,24.41,0.000,0.0
9.5,24.44,0.000,0.0
10.0,24.48,0.000,0.0
10.5,24.51,0.000,0.0
11.0,24.54,0.000,0.0
11.5,24.55,0.000,0.0
12.0,24.56,0.000,0.0
12.5,24.59,0.000,0.0
13.0,24.62,0.000,0.0
13.5,24.65,0.000,0.0
14.0,24.67,0.000,0.0
14.5,24.70,0.000,0.0
15.0,24.72,0.000,0.0
15.5,24.74,0.000,0.0
16.0,24.76,0.000,0.0
16.5,24.76,0.000,0.0
17.0,24.77,0.000,0.0
17.5,24.78,0.000,0.0
18.0,24.78,0.000,0.0
18.5,24.79,0.000,0.0
19.0,24.80,0.000,0.0
19.5,24.81,0.000,0.0
20.0,24.82,0.000,0.0
20.5,24.83,0.000,0.0
21.0,24.85,0.000,0.0
21.5,24.86,0.000,0.0
22.0,24.88,0.000,0.0
22.5,24.90,0.000,0.0
23.0,24.92,0.000,0.0
23.5,24.95,0.000,0.0
24.0,24.98,0.000,0.0

"日期: 2021/7/19, 空调: AC_L_001 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.52,0.000,0.0
1.5,23.55,0.000,0.0
2.0,23.59,0.000,0.0
2.5,23.62,0.000,0.0
3.0,23.65,0.000,0.0
3.5,23.68,0.000,0.0
4.0,23.70,0.000,0.0
4.5,23.73,0.000,0.0
5.0,23.75,0.000,0.0
5.5,23.77,0.000,0.0
6.0,23.79,0.000,0.0
6.5,23.81,0.000,0.0
7.0,23.83,0.000,0.0
7.5,23.85,0.000,0.0
8.0,23.86,0.000,0.0
8.5,23.88,0.000,0.0
9.0,23.90,0.000,0.0
9.5,23.91,0.000,0.0
10.0,23.92,0.000,0.0
10.5,23.94,0.000,0.0
11.0,23.95,0.000,0.0
11.5,23.96,0.000,0.0
12.0,23.97,0.000,0.0
12.5,23.98,0.000,0.0
13.0,23.99,0.000,0.0
13.5,24.00,0.000,0.0
14.0,24.01,0.000,0.0
14.5,24.03,0.000,0.0
15.0,24.04,0.000,0.0
15.5,24.06,0.000,0.0
16.0,24.08,0.000,0.0
16.5,24.08,0.000,0.0
17.0,24.09,0.000,0.0
17.5,24.09,0.000,0.0
18.0,24.10,0.000,0.0
18.5,24.10,0.000,0.0
19.0,24.11,0.000,0.0
19.5,24.11,0.000,0.0
20.0,24.12,0.000,0.0
20.5,24.13,0.000,0.0
21.0,24.14,0.000,0.0
21.5,24.16,0.000,0.0
22.0,24.17,0.000,0.0
22.5,24.20,0.000,0.0
23.0,24.22,0.000,0.0
23.5,24.24,0.000,0.0
24.0,24.26,0.000,0.0

"日期: 2021/7/2, 空调: AC_L_001 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.56,0.000,0.0
1.5,23.64,0.000,0.0
2.0,23.72,0.000,0.0
2.5,23.81,0.000,0.0
3.0,23.89,0.000,0.0
3.5,23.97,0.000,0.0
4.0,24.05,0.000,0.0
4.5,24.12,0.000,0.0
5.0,24.20,0.000,0.0
5.5,24.26,0.000,0.0
6.0,24.33,0.000,0.0
6.5,24.40,0.000,0.0
7.0,24.47,0.000,0.0
7.5,24.55,0.000,0.0
8.0,24.62,0.000,0.0
8.5,24.69,0.000,0.0
9.0,24.76,0.000,0.0
9.5,24.82,0.000,0.0
10.0,24.87,0.000,0.0
10.5,24.92,0.000,0.0
11.0,24.96,0.000,0.0
11.5,25.00,0.000,0.0
12.0,25.04,0.000,0.0
12.5,25.08,0.000,0.0
13.0,25.12,0.000,0.0
13.5,25.16,0.000,0.0
14.0,25.20,0.000,0.0
14.5,25.24,0.000,0.0
15.0,25.29,0.000,0.0
15.5,25.34,0.000,0.0
16.0,25.38,0.000,0.0
16.5,25.42,0.000,0.0
17.0,25.46,0.000,0.0
17.5,25.49,0.000,0.0
18.0,25.52,0.000,0.0
18.5,25.55,0.000,0.0
19.0,25.58,0.000,0.0
19.5,25.61,0.000,0.0
20.0,25.64,0.000,0.0
20.5,25.67,0.000,0.0
21.0,25.70,0.000,0.0
21.5,25.74,0.000,0.0
22.0,25.78,0.000,0.0
22.5,25.82,0.000,0.0
23.0,25.87,0.000,0.0
23.5,25.92,0.000,0.0
24.0,25.97,0.217,1.5

"日期: 2021/7/20, 空调: AC_L_001 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.52,0.000,0.0
1.5,23.54,0.000,0.0
2.0,23.55,0.000,0.0
2.5,23.57,0.000,0.0
3.0,23.58,0.000,0.0
3.5,23.59,0.000,0.0
4.0,23.60,0.000,0.0
4.5,23.61,0.000,0.0
5.0,23.62,0.000,0.0
5.5,23.63,0.000,0.0
6.0,23.64,0.000,0.0
6.5,23.65,0.000,0.0
7.0,23.66,0.000,0.0
7.5,23.67,0.000,0.0
8.0,23.68,0.000,0.0
8.5,23.69,0.000,0.0
9.0,23.70,0.000,0.0
9.5,23.71,0.000,0.0
10.0,23.73,0.000,0.0
10.5,23.74,0.000,0.0
11.0,23.76,0.000,0.0
11.5,23.78,0.000,0.0
12.0,23.80,0.000,0.0
12.5,23.82,0.000,0.0
13.0,23.83,0.000,0.0
13.5,23.85,0.000,0.0
14.0,23.86,0.000,0.0
14.5,23.88,0.000,0.0
15.0,23.89,0.000,0.0
15.5,23.90,0.000,0.0
16.0,23.91,0.000,0.0
16.5,23.93,0.000,0.0
17.0,23.94,0.000,0.0
17.5,23.96,0.000,0.0
18.0,23.97,0.000,0.0
18.5,23.97,0.000,0.0
19.0,23.98,0.000,0.0
19.5,23.98,0.000,0.0
20.0,23.99,0.000,0.0
20.5,23.99,0.000,0.0
21.0,24.00,0.000,0.0
21.5,24.00,0.000,0.0
22.0,24.01,0.000,0.0
22.5,24.02,0.000,0.0
23.0,24.03,0.000,0.0
23.5,24.04,0.000,0.0
24.0,24.05,0.000,0.0

"日期: 2021/7/21, 空调: AC_L_001 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.51,0.000,0.0
1.5,23.53,0.000,0.0
2.0,23.56,0.000,0.0
2.5,23.58,0.000,0.0
3.0,23.61,0.000,0.0
3.5,23.64,0.000,0.0
4.0,23.67,0.000,0.0
4.5,23.70,0.000,0.0
5.0,23.74,0.000,0.0
5.5,23.78,0.000,0.0
6.0,23.81,0.000,0.0
6.5,23.85,0.000,0.0
7.0,23.88,0.000,0.0
7.5,23.92,0.000,0.0
8.0,23.95,0.000,0.0
8.5,23.98,0.000,0.0
9.0,24.01,0.000,0.0
9.5,24.03,0.000,0.0
10.0,24.06,0.000,0.0
10.5,24.07,0.000,0.0
11.0,24.09,0.000,0.0
11.5,24.10,0.000,0.0
12.0,24.10,0.000,0.0
12.5,24.12,0.000,0.0
13.0,24.13,0.000,0.0
13.5,24.14,0.000,0.0
14.0,24.15,0.000,0.0
14.5,24.17,0.000,0.0
15.0,24.18,0.000,0.0
15.5,24.19,0.000,0.0
16.0,24.21,0.000,0.0
16.5,24.21,0.000,0.0
17.0,24.22,0.000,0.0
17.5,24.23,0.000,0.0
18.0,24.24,0.000,0.0
18.5,24.25,0.000,0.0
19.0,24.26,0.000,0.0
19.5,24.28,0.000,0.0
20.0,24.29,0.000,0.0
20.5,24.30,0.000,0.0
21.0,24.31,0.000,0.0
21.5,24.31,0.000,0.0
22.0,24.32,0.000,0.0
22.5,24.32,0.000,0.0
23.0,24.32,0.000,0.0
23.5,24.32,0.000,0.0
24.0,24.33,0.000,0.0

"日期: 2021/7/22, 空调: AC_L_001 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.52,0.000,0.0
1.5,23.58,0.000,0.0
2.0,23.64,0.000,0.0
2.5,23.70,0.000,0.0
3.0,23.76,0.000,0.0
3.5,23.83,0.000,0.0
4.0,23.90,0.000,0.0
4.5,23.97,0.000,0.0
5.0,24.04,0.000,0.0
5.5,24.11,0.000,0.0
6.0,24.18,0.000,0.0
6.5,24.25,0.000,0.0
7.0,24.31,0.000,0.0
7.5,24.37,0.000,0.0
8.0,24.43,0.000,0.0
8.5,24.48,0.000,0.0
9.0,24.53,0.000,0.0
9.5,24.58,0.000,0.0
10.0,24.63,0.000,0.0
10.5,24.67,0.000,0.0
11.0,24.71,0.000,0.0
11.5,24.73,0.000,0.0
12.0,24.74,0.000,0.0
12.5,24.78,0.000,0.0
13.0,24.82,0.000,0.0
13.5,24.86,0.000,0.0
14.0,24.89,0.000,0.0
14.5,24.92,0.000,0.0
15.0,24.95,0.000,0.0
15.5,24.98,0.000,0.0
16.0,25.00,0.000,0.0
16.5,25.02,0.000,0.0
17.0,25.03,0.000,0.0
17.5,25.04,0.000,0.0
18.0,25.05,0.000,0.0
18.5,25.06,0.000,0.0
19.0,25.07,0.000,0.0
19.5,25.08,0.000,0.0
20.0,25.09,0.000,0.0
20.5,25.11,0.000,0.0
21.0,25.12,0.000,0.0
21.5,25.14,0.000,0.0
22.0,25.15,0.000,0.0
22.5,25.17,0.000,0.0
23.0,25.19,0.000,0.0
23.5,25.22,0.000,0.0
24.0,25.25,0.000,0.0

"日期: 2021/7/23, 空调: AC_L_001 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.54,0.000,0.0
1.5,23.61,0.000,0.0
2.0,23.67,0.000,0.0
2.5,23.75,0.000,0.0
3.0,23.82,0.000,0.0
3.5,23.90,0.000,0.0
4.0,23.98,0.000,0.0
4.5,24.07,0.000,0.0
5.0,24.16,0.000,0.0
5.5,24.25,0.000,0.0
6.0,24.34,0.000,0.0
6.5,24.43,0.000,0.0
7.0,24.53,0.000,0.0
7.5,24.62,0.000,0.0
8.0,24.72,0.000,0.0
8.5,24.82,0.000,0.0
9.0,24.91,0.000,0.0
9.5,24.99,0.000,0.0
10.0,25.06,0.000,0.0
10.5,25.12,0.000,0.0
11.0,25.17,0.000,0.0
11.5,25.20,0.000,0.0
12.0,25.23,0.000,0.0
12.5,25.27,0.000,0.0
13.0,25.31,0.000,0.0
13.5,25.36,0.000,0.0
14.0,25.41,0.000,0.0
14.5,25.45,0.000,0.0
15.0,25.50,0.000,0.0
15.5,25.56,0.000,0.0
16.0,25.60,0.000,0.0
16.5,25.63,0.000,0.0
17.0,25.65,0.000,0.0
17.5,25.67,0.000,0.0
18.0,25.69,0.000,0.0
18.5,25.72,0.000,0.0
19.0,25.74,0.000,0.0
19.5,25.76,0.000,0.0
20.0,25.78,0.000,0.0
20.5,25.79,0.000,0.0
21.0,25.81,0.000,0.0
21.5,25.83,0.000,0.0
22.0,25.85,0.000,0.0
22.5,25.86,0.000,0.0
23.0,25.88,0.000,0.0
23.5,25.91,0.000,0.0
24.0,25.94,0.000,0.0

"日期: 2021/7/24, 空调: AC_L_001 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.55,0.000,0.0
1.5,23.62,0.000,0.0
2.0,23.68,0.000,0.0
2.5,23.75,0.000,0.0
3.0,23.83,0.000,0.0
3.5,23.90,0.000,0.0
4.0,23.98,0.000,0.0
4.5,24.06,0.000,0.0
5.0,24.14,0.000,0.0
5.5,24.22,0.000,0.0
6.0,24.30,0.000,0.0
6.5,24.38,0.000,0.0
7.0,24.46,0.000,0.0
7.5,24.54,0.000,0.0
8.0,24.61,0.000,0.0
8.5,24.68,0.000,0.0
9.0,24.74,0.000,0.0
9.5,24.80,0.000,0.0
10.0,24.86,0.000,0.0
10.5,24.91,0.000,0.0
11.0,24.95,0.000,0.0
11.5,24.98,0.000,0.0
12.0,25.01,0.000,0.0
12.5,25.05,0.000,0.0
13.0,25.08,0.000,0.0
13.5,25.12,0.000,0.0
14.0,25.15,0.000,0.0
14.5,25.18,0.000,0.0
15.0,25.21,0.000,0.0
15.5,25.24,0.000,0.0
16.0,25.27,0.000,0.0
16.5,25.29,0.000,0.0
17.0,25.31,0.000,0.0
17.5,25.33,0.000,0.0
18.0,25.35,0.000,0.0
18.5,25.37,0.000,0.0
19.0,25.40,0.000,0.0
19.5,25.42,0.000,0.0
20.0,25.45,0.000,0.0
20.5,25.47,0.000,0.0
21.0,25.50,0.000,0.0
21.5,25.52,0.000,0.0
22.0,25.54,0.000,0.0
22.5,25.57,0.000,0.0
23.0,25.60,0.000,0.0
23.5,25.63,0.000,0.0
24.0,25.67,0.000,0.0

"日期: 2021/7/25, 空调: AC_L_001 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.53,0.000,0.0
1.5,23.58,0.000,0.0
2.0,23.64,0.000,0.0
2.5,23.70,0.000,0.0
3.0,23.77,0.000,0.0
3.5,23.83,0.000,0.0
4.0,23.90,0.000,0.0
4.5,23.97,0.000,0.0
5.0,24.04,0.000,0.0
5.5,24.11,0.000,0.0
6.0,24.18,0.000,0.0
6.5,24.26,0.000,0.0
7.0,24.33,0.000,0.0
7.5,24.41,0.000,0.0
8.0,24.49,0.000,0.0
8.5,24.58,0.000,0.0
9.0,24.65,0.000,0.0
9.5,24.72,0.000,0.0
10.0,24.78,0.000,0.0
10.5,24.84,0.000,0.0
11.0,24.89,0.000,0.0
11.5,24.90,0.000,0.0
12.0,24.91,0.000,0.0
12.5,24.96,0.000,0.0
13.0,25.00,0.000,0.0
13.5,25.05,0.000,0.0
14.0,25.09,0.000,0.0
14.5,25.14,0.000,0.0
15.0,25.18,0.000,0.0
15.5,25.23,0.000,0.0
16.0,25.27,0.000,0.0
16.5,25.27,0.000,0.0
17.0,25.27,0.000,0.0
17.5,25.27,0.000,0.0
18.0,25.27,0.000,0.0
18.5,25.27,0.000,0.0
19.0,25.27,0.000,0.0
19.5,25.27,0.000,0.0
20.0,25.28,0.000,0.0
20.5,25.28,0.000,0.0
21.0,25.28,0.000,0.0
21.5,25.28,0.000,0.0
22.0,25.28,0.000,0.0
22.5,25.28,0.000,0.0
23.0,25.29,0.000,0.0
23.5,25.31,0.000,0.0
24.0,25.33,0.000,0.0

"日期: 2021/7/26, 空调: AC_L_001 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.55,0.000,0.0
1.5,23.62,0.000,0.0
2.0,23.70,0.000,0.0
2.5,23.78,0.000,0.0
3.0,23.86,0.000,0.0
3.5,23.94,0.000,0.0
4.0,24.03,0.000,0.0
4.5,24.11,0.000,0.0
5.0,24.20,0.000,0.0
5.5,24.29,0.000,0.0
6.0,24.38,0.000,0.0
6.5,24.46,0.000,0.0
7.0,24.54,0.000,0.0
7.5,24.62,0.000,0.0
8.0,24.69,0.000,0.0
8.5,24.76,0.000,0.0
9.0,24.83,0.000,0.0
9.5,24.89,0.000,0.0
10.0,24.94,0.000,0.0
10.5,24.99,0.000,0.0
11.0,25.04,0.000,0.0
11.5,25.07,0.000,0.0
12.0,25.10,0.000,0.0
12.5,25.14,0.000,0.0
13.0,25.18,0.000,0.0
13.5,25.22,0.000,0.0
14.0,25.26,0.000,0.0
14.5,25.31,0.000,0.0
15.0,25.35,0.000,0.0
15.5,25.40,0.000,0.0
16.0,25.44,0.000,0.0
16.5,25.46,0.000,0.0
17.0,25.48,0.000,0.0
17.5,25.51,0.000,0.0
18.0,25.53,0.000,0.0
18.5,25.56,0.000,0.0
19.0,25.58,0.000,0.0
19.5,25.61,0.000,0.0
20.0,25.64,0.000,0.0
20.5,25.67,0.000,0.0
21.0,25.70,0.000,0.0
21.5,25.72,0.000,0.0
22.0,25.75,0.000,0.0
22.5,25.78,0.000,0.0
23.0,25.81,0.000,0.0
23.5,25.85,0.000,0.0
24.0,25.89,0.000,0.0

"日期: 2021/7/27, 空调: AC_L_001 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.56,0.000,0.0
1.5,23.63,0.000,0.0
2.0,23.70,0.000,0.0
2.5,23.78,0.000,0.0
3.0,23.85,0.000,0.0
3.5,23.94,0.000,0.0
4.0,24.03,0.000,0.0
4.5,24.13,0.000,0.0
5.0,24.23,0.000,0.0
5.5,24.33,0.000,0.0
6.0,24.43,0.000,0.0
6.5,24.52,0.000,0.0
7.0,24.61,0.000,0.0
7.5,24.69,0.000,0.0
8.0,24.77,0.000,0.0
8.5,24.83,0.000,0.0
9.0,24.90,0.000,0.0
9.5,24.96,0.000,0.0
10.0,25.02,0.000,0.0
10.5,25.08,0.000,0.0
11.0,25.13,0.000,0.0
11.5,25.17,0.000,0.0
12.0,25.21,0.000,0.0
12.5,25.26,0.000,0.0
13.0,25.31,0.000,0.0
13.5,25.34,0.000,0.0
14.0,25.37,0.000,0.0
14.5,25.40,0.000,0.0
15.0,25.41,0.000,0.0
15.5,25.42,0.000,0.0
16.0,25.44,0.000,0.0
16.5,25.47,0.000,0.0
17.0,25.50,0.000,0.0
17.5,25.53,0.000,0.0
18.0,25.56,0.000,0.0
18.5,25.60,0.000,0.0
19.0,25.63,0.000,0.0
19.5,25.67,0.000,0.0
20.0,25.70,0.000,0.0
20.5,25.74,0.000,0.0
21.0,25.78,0.000,0.0
21.5,25.82,0.000,0.0
22.0,25.86,0.000,0.0
22.5,25.90,0.000,0.0
